dtime,time,open,high,low,close,vwap,volume,count
2020-02-17,1581897600,9921.1,9961.5,9476.4,9702.1,9668.4,4759.25765662,16247
2020-02-18,1581984000,9702.2,10281.0,9615.0,10180.0,9964.0,4946.63002769,17543
2020-02-19,1582070400,10180.3,10300.0,9346.0,9602.2,9925.5,6771.75337086,21218
2020-02-20,1582156800,9602.0,9704.9,9350.0,9610.7,9570.5,4154.07286871,14685
2020-02-21,1582243200,9608.5,9771.4,9562.8,9698.2,9690.9,2778.86679125,10362
2020-02-22,1582329600,9696.8,9717.6,9575.0,9671.5,9664.2,1028.00120476,4819
2020-02-23,1582416000,9670.0,10022.0,9666.0,9966.1,9896.9,2462.42622628,9879
2020-02-24,1582502400,9967.5,10022.8,9485.0,9664.6,9716.1,4234.87059293,14438
2020-02-25,1582588800,9661.8,9677.4,9244.0,9309.5,9437.8,4373.89747117,14084
2020-02-26,1582675200,9307.7,9365.6,8645.0,8783.5,8973.1,8419.18472364,27187
2020-02-27,1582761600,8783.3,8968.0,8516.3,8810.3,8776.6,4871.47143515,17255
2020-02-28,1582848000,8814.5,8895.0,8439.3,8715.5,8645.9,5456.72459924,17325
2020-02-29,1582934400,8706.8,8795.0,8526.6,8529.1,8665.8,2241.96592406,7731
2020-03-01,1583020800,8526.1,8750.0,8405.0,8530.0,8555.6,3134.04788956,9241
2020-03-02,1583107200,8518.8,8965.0,8486.9,8924.7,8782.6,4758.56506701,12391
2020-03-03,1583193600,8918.4,8924.1,8662.5,8752.8,8774.1,3892.82816455,12476
2020-03-04,1583280000,8756.6,8844.0,8670.4,8758.7,8754.9,3140.2803402,10922
2020-03-05,1583366400,8758.4,9170.0,8758.4,9066.0,9022.4,4762.43290995,16083
2020-03-06,1583452800,9065.8,9175.0,9001.9,9154.9,9098.0,3664.43951004,10671
2020-03-07,1583539200,9154.8,9213.0,8856.0,8899.5,9030.1,2985.57244616,9937
2020-03-08,1583625600,8891.1,8891.1,8003.1,8035.6,8416.9,7188.98135068,22871
2020-03-09,1583712000,8039.8,8185.0,7634.3,7927.8,7861.0,9972.59475142,29516
2020-03-10,1583798400,7929.1,8153.5,7735.0,7886.9,7937.7,7321.23320851,20308
2020-03-11,1583884800,7889.6,7986.1,7589.0,7943.3,7817.0,6679.27569715,18273
2020-03-12,1583971200,7961.3,7967.3,4672.3,4850.0,6149.5,39800.71505227,128294
2020-03-13,1584057600,4850.0,5999.0,3913.1,5630.2,5144.9,45110.87342509,163328
2020-03-14,1584144000,5630.2,5664.9,5057.0,5162.2,5390.3,11373.58938992,29870
2020-03-15,1584230400,5163.1,6002.2,5092.6,5340.1,5408.7,14972.44241729,39628
2020-03-16,1584316800,5339.7,5345.8,4331.7,5042.3,4897.1,25217.66913966,65790
2020-03-17,1584403200,5044.0,5565.1,4942.0,5331.7,5316.7,17512.03843833,38718
2020-03-18,1584489600,5334.3,5450.0,5015.9,5415.2,5277.2,17389.77099803,33547
2020-03-19,1584576000,5419.3,6433.6,5270.1,6184.5,5886.7,21672.56794101,53952
2020-03-20,1584662400,6185.3,7020.0,5680.0,6206.8,6361.0,22752.76020803,66184
2020-03-21,1584748800,6207.0,6469.9,5850.0,6196.3,6183.2,11088.60927023,31447
2020-03-22,1584835200,6196.3,6419.9,5748.7,5825.5,6048.6,11834.23997828,32989
2020-03-23,1584921600,5820.6,6615.0,5688.1,6505.1,6204.0,16490.58491787,43515
2020-03-24,1585008000,6498.4,6875.0,6404.0,6769.0,6648.6,15187.88737389,40152
2020-03-25,1585094400,6766.8,6985.0,6462.5,6689.9,6673.3,12154.11551176,31283
2020-03-26,1585180800,6690.0,6796.2,6524.8,6767.0,6668.6,7007.12459154,20184
2020-03-27,1585267200,6764.2,6869.0,6280.0,6376.4,6670.2,9964.06390661,25100
2020-03-28,1585353600,6376.3,6376.4,6039.0,6251.8,6219.6,9047.77713744,24372
2020-03-29,1585440000,6252.6,6281.1,5866.3,5875.0,6049.7,6451.48074249,18848
2020-03-30,1585526400,5875.0,6640.0,5851.0,6403.2,6306.5,11024.05146764,28984
2020-03-31,1585612800,6403.8,6525.0,6336.0,6422.1,6446.4,6173.38589792,16759
2020-04-01,1585699200,6422.2,6710.0,6157.4,6662.9,6374.1,11298.75259834,27358
2020-04-02,1585785600,6662.9,7269.0,6576.4,6803.8,6835.9,18344.45513512,43096
2020-04-03,1585872000,6800.5,7053.3,6610.0,6738.6,6820.5,11139.79871481,25332
2020-04-04,1585958400,6738.6,7002.0,6654.5,6873.2,6810.7,6160.36258014,16997
2020-04-05,1586044800,6873.0,6910.1,6681.8,6779.4,6788.3,3842.23364298,13272
2020-04-06,1586131200,6778.7,7370.0,6774.2,7343.5,7124.0,12052.07455138,31084
2020-04-07,1586217600,7342.3,7474.9,7080.0,7206.2,7305.9,10959.24109233,30016
2020-04-08,1586304000,7204.7,7425.7,7157.0,7368.0,7303.8,7513.67368316,22183
2020-04-09,1586390400,7366.3,7378.1,7091.9,7294.1,7287.3,7172.46709718,18816
2020-04-10,1586476800,7294.1,7304.5,6750.0,6873.8,6970.7,10944.24981389,29234
2020-04-11,1586563200,6873.7,6960.0,6771.4,6889.6,6872.5,4297.11045169,14230
2020-04-12,1586649600,6886.8,7216.5,6795.0,6903.7,7021.0,7413.51868624,20764
2020-04-13,1586736000,6903.7,6903.9,6560.0,6861.6,6759.4,10209.63615758,27198
2020-04-14,1586822400,6862.1,6985.0,6772.7,6874.5,6885.9,5897.65064809,17278
2020-04-15,1586908800,6874.6,6938.8,6601.0,6619.8,6750.1,6376.29262691,18335
2020-04-16,1586995200,6618.1,7212.2,6478.6,7114.9,6927.1,14381.39167045,36230
2020-04-17,1587081600,7112.4,7157.8,6989.7,7034.1,7075.1,5728.81106563,16268
2020-04-18,1587168000,7034.5,7300.0,7025.4,7259.0,7180.9,4787.19773175,12911
2020-04-19,1587254400,7258.9,7276.1,7066.2,7127.6,7157.1,3469.26761388,10020
2020-04-20,1587340800,7125.8,7224.0,6760.2,6839.2,6972.2,7408.89086987,20616
2020-04-21,1587427200,6838.2,6952.6,6773.1,6852.1,6864.1,4638.37896165,13270
2020-04-22,1587513600,6855.0,7165.0,6819.8,7136.9,7029.5,5933.87000545,14143
2020-04-23,1587600000,7136.8,7790.0,7035.2,7485.0,7413.9,11413.46162252,29602
2020-04-24,1587686400,7489.8,7610.0,7370.0,7507.8,7516.0,7417.32530007,16077
2020-04-25,1587772800,7509.4,7731.8,7442.2,7550.1,7557.8,5605.49059654,12772
2020-04-26,1587859200,7550.0,7710.0,7480.0,7703.9,7613.5,4518.49022689,11633
2020-04-27,1587945600,7706.6,7795.0,7629.7,7792.4,7716.1,6358.90421104,15933
2020-04-28,1588032000,7792.4,7794.9,7671.1,7755.8,7729.4,4236.80566423,9992
2020-04-29,1588118400,7753.0,8978.0,7727.6,8779.9,8403.2,20471.05190692,54201
2020-04-30,1588204800,8779.9,9487.9,8410.0,8629.6,8933.8,23985.38992569,61295
2020-05-01,1588291200,8628.3,9065.0,8628.3,8824.6,8805.3,8508.44395579,24971
2020-05-02,1588377600,8831.0,9016.2,8756.4,8983.1,8893.4,5759.28671375,19661
2020-05-03,1588464000,8983.2,9204.8,8714.0,8905.5,8975.2,8379.6197731,26012
2020-05-04,1588550400,8910.9,8972.5,8534.0,8886.3,8776.7,8240.87431951,27647
2020-05-05,1588636800,8890.7,9119.9,8780.0,9027.4,8936.6,7421.48480588,21732
2020-05-06,1588723200,9027.4,9430.0,8921.0,9166.1,9214.7,11362.01313335,31294
2020-05-07,1588809600,9163.1,10080.2,9037.0,10001.0,9616.6,18206.78074228,48912
2020-05-08,1588896000,10001.4,10048.2,9727.5,9809.5,9926.3,9783.48938227,31846
2020-05-09,1588982400,9808.4,9911.7,9518.0,9539.7,9691.7,8004.08245324,23146
2020-05-10,1589068800,9530.5,9570.1,7995.6,8716.5,8687.4,21269.65739269,69265
2020-05-11,1589155200,8724.9,9175.0,8190.0,8570.8,8700.5,18291.82768881,49333
2020-05-12,1589241600,8570.8,8975.0,8531.8,8823.7,8779.9,7354.10341194,22313
2020-05-13,1589328000,8818.1,9411.0,8808.1,9317.1,9117.1,9472.11087761,27926
2020-05-14,1589414400,9317.1,9947.0,9256.9,9788.5,9632.3,12966.02053407,37987
2020-05-15,1589500800,9788.5,9847.1,9128.0,9312.1,9476.7,11082.91558633,35220
2020-05-16,1589587200,9310.5,9590.0,9221.1,9386.0,9399.2,4905.16528078,17890
2020-05-17,1589673600,9379.3,9888.0,9317.1,9673.0,9686.4,6998.24963795,22267
2020-05-18,1589760000,9675.6,9948.3,9400.0,9725.3,9716.3,8025.34763434,26528
2020-05-19,1589846400,9726.0,9900.0,9465.0,9779.3,9684.7,8433.88252936,24631
2020-05-20,1589932800,9779.2,9841.4,9310.0,9510.1,9588.4,8928.34699991,26220
2020-05-21,1590019200,9510.1,9564.0,8800.0,9057.3,9140.0,12850.78533232,38616
